strategy,precision,threshold,n_ok,mean,median,p95,p99,max,fail_pct
linear,fp32,5.96e-08,10000,2.81,3.0,3,3,3,0.00
linear,bf16,7.81e-03,10000,1.00,1.0,1,1,1,0.00
linear,fp8,1.25e-01,10000,1.00,1.0,1,1,1,0.00
magic,fp32,5.96e-08,10000,2.79,3.0,3,3,3,0.00
magic,bf16,7.81e-03,10000,1.00,1.0,1,1,1,0.00
magic,fp8,1.25e-01,10000,1.00,1.0,1,1,1,0.00
magic_bf16,fp32,5.96e-08,10000,2.79,3.0,3,3,3,0.00
magic_bf16,bf16,7.81e-03,10000,1.00,1.0,1,1,1,0.00
magic_bf16,fp8,1.25e-01,10000,1.00,1.0,1,1,1,0.00
magic_fp8,fp32,5.96e-08,5373,4.14,4.0,8,8,8,46.27
magic_fp8,bf16,7.81e-03,5373,2.41,2.0,6,7,7,46.27
magic_fp8,fp8,1.25e-01,5373,1.52,1.0,5,5,5,46.27
