algorithm,precision,b,iterations,error_at_convergence_or_final,threshold,meets_threshold
Newton–Raphson,fp8,3.9564601847039412e-05,1,1.546565e-03,1.250000e-01,1
Newton–Raphson,fp8,15258.75335072929,1,9.380434e-06,1.250000e-01,1
Newton–Raphson,fp8,1500.2474465870739,1,3.393047e-03,1.250000e-01,1
Newton–Raphson,fp8,0.001123924647194094,1,2.167309e-06,1.250000e-01,1
Newton–Raphson,fp8,0.88111576446550466,1,7.003091e-04,1.250000e-01,1
Newton–Raphson,fp8,0.24649710218979007,1,2.116525e-03,1.250000e-01,1
Newton–Raphson,fp8,66.890012460874743,1,1.484793e-03,1.250000e-01,1
Newton–Raphson,fp8,2996.2328803974779,1,3.384848e-03,1.250000e-01,1
Newton–Raphson,fp8,1.2870106085281319e-05,1,1.796342e-03,1.250000e-01,1
Newton–Raphson,fp8,2.0928481382463172e-06,1,3.065120e-04,1.250000e-01,1
Newton–Raphson,bf16,3.9564601847039412e-05,1,1.546565e-03,7.812500e-03,1
Newton–Raphson,bf16,15258.75335072929,1,9.380434e-06,7.812500e-03,1
Newton–Raphson,bf16,1500.2474465870739,1,3.393047e-03,7.812500e-03,1
Newton–Raphson,bf16,0.001123924647194094,1,2.167309e-06,7.812500e-03,1
Newton–Raphson,bf16,0.88111576446550466,1,7.003091e-04,7.812500e-03,1
Newton–Raphson,bf16,0.24649710218979007,1,2.116525e-03,7.812500e-03,1
Newton–Raphson,bf16,66.890012460874743,1,1.484793e-03,7.812500e-03,1
Newton–Raphson,bf16,2996.2328803974779,1,3.384848e-03,7.812500e-03,1
Newton–Raphson,bf16,1.2870106085281319e-05,1,1.796342e-03,7.812500e-03,1
Newton–Raphson,bf16,2.0928481382463172e-06,1,3.065120e-04,7.812500e-03,1
Newton–Raphson,fp32,3.9564601847039412e-05,3,5.721280e-12,5.960464e-08,1
Newton–Raphson,fp32,1500.2474465870739,3,1.325438e-10,5.960464e-08,1
Newton–Raphson,fp32,0.88111576446550466,3,2.404502e-13,5.960464e-08,1
Newton–Raphson,fp32,0.24649710218979007,3,2.006744e-11,5.960464e-08,1
Newton–Raphson,fp32,66.890012460874743,3,4.860270e-12,5.960464e-08,1
Newton–Raphson,fp32,2996.2328803974779,3,1.312673e-10,5.960464e-08,1
Newton–Raphson,fp32,1.2870106085281319e-05,3,1.041247e-11,5.960464e-08,1
Newton–Raphson,fp32,2.0928481382463172e-06,3,8.771025e-15,5.960464e-08,1
Newton–Raphson,fp32,11041.160195691949,3,2.781562e-11,5.960464e-08,1
Newton–Raphson,fp32,0.15503681209162212,3,2.895838e-13,5.960464e-08,1
Goldschmidt classic,fp8,0.001123924647194094,2,3.248761e-02,1.250000e-01,1
Goldschmidt classic,fp8,66.890012460874743,2,5.195279e-02,1.250000e-01,1
Goldschmidt classic,fp8,2.0928481382463172e-06,2,4.150879e-02,1.250000e-01,1
Goldschmidt classic,fp8,0.15503681209162212,2,2.081906e-02,1.250000e-01,1
Goldschmidt classic,fp8,1.0110194158593826e-06,2,4.876968e-02,1.250000e-01,1
Goldschmidt classic,fp8,0.00054196558030736146,2,3.922351e-02,1.250000e-01,1
Goldschmidt classic,fp8,68181.763977004535,2,5.300211e-02,1.250000e-01,1
Goldschmidt classic,fp8,2.2271023958354482e-06,2,2.999981e-02,1.250000e-01,1
Goldschmidt classic,fp8,1.9310734093267968e-06,2,5.944789e-02,1.250000e-01,1
Goldschmidt classic,fp8,0.037115600156526318,2,2.721119e-02,1.250000e-01,1
Goldschmidt classic,bf16,3.9564601847039412e-05,3,2.344799e-04,7.812500e-03,1
Goldschmidt classic,bf16,0.001123924647194094,3,1.055445e-03,7.812500e-03,1
Goldschmidt classic,bf16,66.890012460874743,3,2.699093e-03,7.812500e-03,1
Goldschmidt classic,bf16,2.0928481382463172e-06,3,1.722980e-03,7.812500e-03,1
Goldschmidt classic,bf16,11041.160195691949,3,1.278844e-04,7.812500e-03,1
Goldschmidt classic,bf16,0.15503681209162212,3,4.334332e-04,7.812500e-03,1
Goldschmidt classic,bf16,1.0110194158593826e-06,3,2.378481e-03,7.812500e-03,1
Goldschmidt classic,bf16,0.00054196558030736146,3,1.538483e-03,7.812500e-03,1
Goldschmidt classic,bf16,68181.763977004535,3,2.809224e-03,7.812500e-03,1
Goldschmidt classic,bf16,2.2271023958354482e-06,3,8.999883e-04,7.812500e-03,1
Goldschmidt classic,fp32,0.001123924647194094,5,1.240827e-12,5.960464e-08,1
Goldschmidt classic,fp32,66.890012460874743,5,5.307263e-11,5.960464e-08,1
Goldschmidt classic,fp32,2.0928481382463172e-06,5,8.813053e-12,5.960464e-08,1
Goldschmidt classic,fp32,0.15503681209162212,5,3.525129e-14,5.960464e-08,1
Goldschmidt classic,fp32,1.0110194158593826e-06,5,3.200366e-11,5.960464e-08,1
Goldschmidt classic,fp32,0.00054196558030736146,5,5.602593e-12,5.960464e-08,1
