type,constant,worst_seed_err,mean_seed_err,mean_iters,max_iters,fails
optimal_shipped,0x7EF3,0.050781,0.042386,2.93,3,0
brute_force_best_convergence,0x7EEB,,,2.36,3,0
random,0xA393,11746886626138241630208.000000,11302855378946123366400.000000,nan,0,14
random,0x7252,1.000000,1.000000,30.00,30,0
random,0x7AD8,0.996704,0.996598,13.00,13,0
random,0x9311,1353773691698.199951,1301604219522.657227,nan,0,14
random,0xA0E3,282970171786943004672.000000,272996500052168310784.000000,nan,0,14
random,0x6BA2,1.000000,1.000000,43.00,43,0
random,0x80C6,11.968750,11.572684,nan,0,14
random,0xB200,5704427701027032306735164424192.000000,5445123474941005813825004371968.000000,nan,0,14
random,0xB699,3326315174998873949527349210906624.000000,3207642705861436416300233078603776.000000,nan,0,14
random,0xC0B0,nan,nan,nan,0,14
random,0xAE48,32495926031241232216102010880.000000,31476525239404473243895070720.000000,nan,0,14
random,0x9590,43100855808818.203125,41423793793081.515625,nan,0,14
random,0x9340,1717986918399.000000,1670011750223.457031,nan,0,14
random,0x4822,1.000000,1.000000,nan,0,14
random,0x9E35,6715767764334883840.000000,6622507062408452096.000000,nan,0,14
random,0xBCD9,19299767423173954295247854855711096832.000000,18627726586382055824578258769826283520.000000,nan,0,14
random,0xBA22,444460611090581215487419967845957632.000000,430383459830812478697628074430693376.000000,nan,0,14
random,0x846C,2063.000000,1986.901786,nan,0,14
random,0x72F4,1.000000,1.000000,28.57,29,0
random,0x420C,1.000000,nan,nan,0,14
random,0x48EA,1.000000,1.000000,nan,0,14
random,0x7535,0.999999,0.999999,24.00,24,0
random,0x3E78,1.000000,nan,nan,0,14
random,0x8083,8.150000,7.746101,nan,0,14
random,0x9D81,2608484904172991488.000000,2491067617638140928.000000,nan,0,14
random,0x67B2,1.000000,1.000000,nan,0,14
random,0x96B8,208907209277439.000000,205282502306317.625000,nan,0,14
random,0x89BF,3256319.000000,3169500.257143,nan,0,14
random,0x4CB8,1.000000,1.000000,nan,0,14
random,0xB849,34287413434973148851682828299010048.000000,33197070935128273165768280586059776.000000,nan,0,14
