type,constant,worst_seed_err,mean_seed_err,mean_iters,max_iters,fails
optimal_shipped,0x70,0.125000,0.033203,1.62,3,1
brute_force_best_convergence,0x70,,,1.62,3,1
random,0x3C,799.000000,568.063542,11.00,11,13
random,0xA3,90.000000,82.312416,14.00,14,16
random,0x34,399.000000,313.873901,12.00,12,14
random,0x72,0.312500,0.261719,4.00,4,1
random,0xD7,7679.000000,2048.378125,7.64,8,6
random,0xFB,1.843750,1.770221,nan,0,17
random,0xE1,18431.000000,2304.498291,6.00,6,3
random,0x7A,1.625000,1.522059,nan,0,17
random,0x01,3.875000,3.584559,nan,0,17
random,0x29,155.000000,128.124725,13.00,13,15
random,0x38,575.000000,400.498047,12.00,12,13
random,0x93,21.750000,21.161765,nan,0,17
random,0x32,335.000000,262.374084,12.00,12,14
random,0xE6,28671.000000,3584.359375,5.00,5,3
random,0x05,5.875000,5.577206,nan,0,17
random,0xFB,1.843750,1.770221,nan,0,17
random,0xA0,71.000000,61.249939,15.00,15,16
random,0x6B,45055.000000,2816.225098,4.00,4,2
random,0xCB,2911.000000,1419.407017,9.00,9,10
random,0x80,3.500000,3.125000,nan,0,17
random,0xB2,335.000000,262.374084,12.00,12,14
random,0xB6,479.000000,371.373718,12.00,12,14
random,0xC0,1151.000000,710.061458,11.00,11,12
random,0x27,131.000000,114.749886,14.00,14,16
random,0xAE,239.000000,199.249573,13.00,13,15
random,0x2D,219.000000,183.874603,13.00,13,15
random,0x95,26.500000,25.308824,nan,0,17
random,0x93,21.750000,21.161765,nan,0,17
random,0xEA,40959.000000,2560.283203,4.80,5,2
random,0x48,2239.000000,1130.585156,9.86,10,10
